GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED
Lineups,-203952-1630696-1631323-1641796-1642276-,A. Wiggins - D. Smith - S. Fontecchio - P. Larsson - K. Ware,1610612748,MIA,1,0,1,0.0,4.0,122.2,122.2,135.1,133.3,-12.9,-11.1,0.4,2.0,18.2,0.0,0.667,0.333,0.111,0.688,0.688,111.9,112.7,93.91,9,0.367,55,95,62,95,47,38,87,76,88,21,51,69,57,85,71,27,35,53,75,11500
Lineups,-203952-1626181-1628389-1630696-1631170-,A. Wiggins - N. Powell - B. Adebayo - D. Smith - J. Jaquez Jr.,1610612748,MIA,2,1,1,0.5,4.0,90.9,100.0,123.0,120.0,-32.0,-20.0,0.6,3.0,20.0,0.333,1.0,0.429,0.1,0.455,0.455,116.3,112.06,93.39,10,0.362,32,39,62,78,43,63,77,80,64,11,41,37,1,73,65,80,89,57,76,12850
Lineups,-203952-1626181-1630558-1631107-1642276-,A. Wiggins - N. Powell - D. Mitchell - N. Jović - K. Ware,1610612748,MIA,3,3,0,1.0,4.0,101.7,87.5,77.8,77.8,24.0,9.7,0.5,1.0,11.1,0.0,0.8,0.5,0.125,0.5,0.595,96.9,103.73,86.44,8,0.64,20,9,1,1,45,80,35,50,71,40,87,69,38,50,77,60,52,86,42,11800
Lineups,-1626181-1630558-1631107-1631170-1642276-,N. Powell - D. Mitchell - N. Jović - J. Jaquez Jr. - K. Ware,1610612748,MIA,4,2,2,0.5,4.0,116.3,114.3,67.6,60.0,48.7,54.3,0.333,0.0,10.0,0.4,0.571,0.5,0.0,0.438,0.45,99.1,106.9,89.08,7,1.2,11,20,102,78,48,48,26,23,89,62,90,27,79,50,1,82,90,74,13,11450
Lineups,-203952-1628389-1630558-1631107-1631323-,A. Wiggins - B. Adebayo - D. Mitchell - N. Jović - S. Fontecchio,1610612748,MIA,2,1,1,0.5,3.0,56.4,60.0,143.4,140.0,-87.1,-80.0,1.0,0.0,16.7,0.0,1.0,0.4,0.0,0.25,0.282,94.8,92.9,77.42,5,-0.133,32,39,62,78,56,99,97,107,1,62,59,69,1,80,1,98,103,111,108,7750
Lineups,-203952-1628389-1630696-1631107-1641796-,A. Wiggins - B. Adebayo - D. Smith - N. Jović - P. Larsson,1610612748,MIA,1,0,1,0.0,3.0,100.0,100.0,103.6,100.0,-3.6,0.0,0.333,1.0,14.3,0.0,0.5,0.333,0.167,0.6,0.6,106.8,108.84,90.7,6,0.48,55,95,62,95,53,63,55,56,89,40,75,69,81,85,84,42,51,68,65,8600
Lineups,-203952-1630558-1631107-1641796-1642276-,A. Wiggins - D. Mitchell - N. Jović - P. Larsson - K. Ware,1610612748,MIA,1,1,0,1.0,3.0,100.0,83.3,260.0,260.0,-160.0,-176.7,0.5,0.0,12.5,0.25,0.0,0.2,0.0,0.417,0.417,92.3,101.54,84.62,6,0.122,55,39,1,1,55,82,119,116,71,62,82,45,100,105,1,84,93,95,98,7800
Lineups,-203952-1630558-1631323-1641796-1642276-,A. Wiggins - D. Mitchell - S. Fontecchio - P. Larsson - K. Ware,1610612748,MIA,1,0,1,0.0,3.0,71.4,83.3,102.5,83.3,-31.0,0.0,0.5,1.0,11.1,0.4,1.0,0.571,0.167,0.357,0.357,98.3,99.31,82.76,6,-0.091,55,95,62,95,52,82,41,56,71,40,87,27,1,37,84,91,98,102,107,8700
Lineups,-203952-1626181-1628389-1631170-1641796-,A. Wiggins - N. Powell - B. Adebayo - J. Jaquez Jr. - P. Larsson,1610612748,MIA,1,1,0,1.0,3.0,136.1,114.3,100.0,100.0,36.1,14.3,0.0,0.0,0.0,0.0,0.667,0.333,0.0,0.6,0.68,101.6,110.47,92.05,7,0.552,55,39,1,1,51,48,55,47,93,62,93,69,57,85,1,42,37,62,53,9125
Lineups,-203952-1626181-1630696-1631107-1642276-,A. Wiggins - N. Powell - D. Smith - N. Jović - K. Ware,1610612748,MIA,1,1,0,1.0,3.0,220.6,200.0,102.5,83.3,118.1,116.7,1.0,0.0,41.7,0.5,0.667,0.6,0.0,0.917,0.932,96.5,112.21,93.51,6,0.897,55,39,1,1,57,3,41,12,1,62,3,11,57,26,1,14,11,55,23,7700
Lineups,-1628389-1630558-1631107-1631170-1631323-,B. Adebayo - D. Mitchell - N. Jović - J. Jaquez Jr. - S. Fontecchio,1610612748,MIA,1,1,0,1.0,3.0,28.6,28.6,33.3,33.3,-4.8,-4.8,0.0,0.0,0.0,0.2,1.0,0.5,0.286,0.167,0.167,124.0,123.97,103.31,7,-0.333,55,39,1,1,60,107,19,69,93,62,93,55,1,50,109,102,107,35,113,7550
Lineups,-1630558-1631107-1631170-1631323-1641796-,D. Mitchell - N. Jović - J. Jaquez Jr. - S. Fontecchio - P. Larsson,1610612748,MIA,4,3,1,0.75,3.0,60.0,60.0,141.8,137.5,-81.8,-77.5,1.0,0.0,16.7,0.0,0.667,0.286,0.0,0.3,0.3,120.1,122.35,101.96,5,-0.174,11,9,62,64,58,99,96,105,1,62,59,69,57,98,1,96,102,40,110,7650
Lineups,-1626181-1628389-1630558-1631170-1642352-,N. Powell - B. Adebayo - D. Mitchell - J. Jaquez Jr. - K. Johnson,1610612748,MIA,1,1,0,1.0,3.0,102.0,100.0,160.0,160.0,-58.0,-60.0,0.0,0.0,0.0,0.0,1.0,0.333,0.167,0.5,0.615,103.5,104.62,87.19,6,0.229,55,39,1,1,59,63,106,98,93,62,93,69,1,85,84,60,48,83,92,7570
Lineups,-1626181-1628389-1630558-1641796-1642352-,N. Powell - B. Adebayo - D. Mitchell - P. Larsson - K. Johnson,1610612748,MIA,1,1,0,1.0,3.0,136.1,133.3,160.0,160.0,-23.9,-26.7,1.0,0.0,20.0,0.4,1.0,0.571,0.0,0.429,0.508,85.6,86.56,72.13,6,0.4,55,39,1,1,50,27,106,85,1,62,41,27,1,37,1,83,73,114,73,9150
Lineups,-1626181-1628389-1630558-1631323-1641796-,N. Powell - B. Adebayo - D. Mitchell - S. Fontecchio - P. Larsson,1610612748,MIA,1,1,0,1.0,3.0,33.3,33.3,143.4,116.7,-110.1,-83.3,1.0,0.5,14.3,0.0,0.667,0.333,0.333,0.25,0.25,99.2,109.37,91.14,6,-0.429,55,39,1,1,54,105,74,108,1,58,75,69,57,85,110,98,104,65,118,7900
Lineups,-203952-1628389-1630696-1631107-1631323-,A. Wiggins - B. Adebayo - D. Smith - N. Jović - S. Fontecchio,1610612748,MIA,1,1,0,1.0,2.0,180.4,175.0,133.3,133.3,47.1,41.7,0.5,0.0,16.7,0.5,0.5,0.5,0.0,0.625,0.717,97.1,98.82,82.35,4,0.625,55,39,1,1,78,13,87,29,71,62,59,11,81,50,1,37,30,104,43,5100
